"X","PATHWAY.SORTORDER","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","Group.HMDB","Standardized name"
72,1507,"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","Lipid","Phospholipid Metabolism",52447,"LC/MS Pos Late",100008977,2424,768.55378,"","5289133","","","PE 18:0/20:4"
73,1496,"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","Lipid","Phospholipid Metabolism",52449,"LC/MS Polar",100000616,870,885.54948,"","","","","PI 18:0/20:4"
74,1599,"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)","Lipid","Phosphatidylserine (PS)",52235,"LC/MS Pos Late",100001872,2565,812.54361,"","","","","PS 18:0/20:4"
75,1489,"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","Lipid","Phospholipid Metabolism",52452,"LC/MS Pos Late",100008980,2380,786.60074,"","","","","PC 18:0/18:2"
76,1515,"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phospholipid Metabolism",52446,"LC/MS Pos Late",100008976,2522,744.55378,"","9546749","","","PE 18:0/18:2"
77,1569,"1-stearoyl-2-linoleoyl-GPS (18:0/18:2)","Lipid","Phospholipid Metabolism",53009,"LC/MS Pos Late",100000642,2689,788.54361,"","9547091","","","PS 18:0/18:2"
78,1484,"1-stearoyl-2-oleoyl-GPC (18:0/18:1)","Lipid","Phospholipid Metabolism",52438,"LC/MS Pos Late",100008904,2644,788.61639,"56421-10-4","","","","PC 18:0/18:1"
79,1509,"1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phospholipid Metabolism",42448,"LC/MS Pos Late",100001856,2858,746.56944,"","","","","PE 18:0/18:1"
80,1600,"1-stearoyl-2-oleoyl-GPS (18:0/18:1)","Lipid","Phosphatidylserine (PS)",48494,"LC/MS Polar",100000639,901,788.54473,"","9547087","","","PS 18:0/18:1"
81,1612,"1-stearoyl-GPC (18:0)","Lipid","Lysolipid",33961,"LC/MS Pos Late",100001271,1606,524.37107,"19420-57-6","497299","","HMDB10384","LPC 18:0/0:0"
82,1645,"1-stearoyl-GPE (18:0)","Lipid","Lysolipid",42398,"LC/MS Neg",100001461,6514,480.30956,"69747-55-3","9547068","","HMDB11130","LPE 18:0/0:0"
83,1692,"1-stearoyl-GPG (18:0)","Lipid","Lysolipid",34437,"LC/MS Neg",100001462,5816,511.30414,"","","","","LPG 18:0/0:0"
84,1668,"1-stearoyl-GPI (18:0)","Lipid","Lysolipid",19324,"LC/MS Neg",100000656,5794.3,599.32018,"796963-93-4","","","HMDB61696","LPI 18:0/0:0"
85,1678,"1-stearoyl-GPS (18:0)*","Lipid","Lysolipid",45966,"LC/MS Neg",100004327,5800,524.29939,"","9547101","","","LPS 18:0/0:0"
86,85,"2-aminoadipate","Amino Acid","Lysine Metabolism",6146,"LC/MS Pos Early",381,1912,162.07609,"542-32-5;1118-90-7","469","C00956","HMDB00510","alpha-Aminoadipic acid"
87,1754,"2-arachidonoylglycerol (20:4)","Lipid","Monoacylglycerol",19266,"LC/MS Neg",100000584,6170,303.23293,"53847-30-6","5282280","C13856","HMDB04666","MG 20:4"
88,2647,"2'-deoxyadenosine 3'-monophosphate","Nucleotide","Purine Metabolism, Adenine containing",40663,"LC/MS Neg",100003420,1162,330.06089,"102832-10-0","1467","","","2'-Deoxy-3'-AMP"
89,2646,"2'-deoxyadenosine 5'-monophosphate","Nucleotide","Purine Metabolism, Adenine containing",46333,"LC/MS Pos Early",100000485,1284,332.07545,"653-63-4","12599","C00360","HMDB00905","dAMP"
90,2729,"2'-deoxycytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",15949,"LC/MS Neg",100000125,1492.2,226.08333,"951-77-9","13711","C00881","HMDB00014","Deoxycytidine"
91,2727,"2'-deoxycytidine 5'-monophosphate","Nucleotide","Pyrimidine Metabolism, Cytidine containing",533,"LC/MS Pos Early",298,975,308.06422,"1032-65-1","13945","C00239","HMDB01202","dCMP"
92,2677,"2'-deoxyguanosine","Nucleotide","Purine Metabolism, Guanine containing",1411,"LC/MS Pos Early",348,1890,268.10404,"961-07-9","187790","C00330","HMDB00085","Deoxyguanosine"
